iniciar-programa - INICIOPROGRAMA
define-nueva-instruccion - DECLARACION
como - COMODECLARACION
inicio - INICIO
gira-izquierda - GIRAIZQ
; - PUNTOCOMA
gira-izquierda - GIRAIZQ
; - PUNTOCOMA
gira-izquierda - GIRAIZQ
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
inicia-ejecucion - INICIAEJECUCION
; - PUNTOCOMA
mientras - MIENTRAS
frente-libre - FLIBRE
y - Y
no-junto-a-zumbador - NJZUMBADOR
hacer - HACER
inicio - INICIO
avanza - AVANZA
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
mientras - MIENTRAS
junto-a-zumbador - JZUMBADOR
hacer - HACER
inicio - INICIO
coge-zumbador - COGZUM
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
gira-izquierda - GIRAIZQ
; - PUNTOCOMA
gira-izquierda - GIRAIZQ
; - PUNTOCOMA
mientras - MIENTRAS
orientado-al-norte - ORNORTE
o - O
no - NO
orientado-al-este - ORESTE
hacer - HACER
inicio - INICIO
avanza - AVANZA
; - PUNTOCOMA
si-es-cero - SIESCERO
y - Y
derecha-libre - DLIBRE
hacer - HACER
inicio - INICIO
sal-de-instruccion - SALINS
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
mientras - MIENTRAS
frente-libre - FLIBRE
y - Y
no - NO
junto-a-zumbador - JZUMBADOR
hacer - HACER
inicio - INICIO
avanza - AVANZA
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
si - SI
frente-bloqueado - FBLOQUADO
entonces - ENTONCES
inicio - INICIO
deja-zumbador - DEJZUM
; - PUNTOCOMA
fin - FIN
; - PUNTOCOMA
apagate - APAGAR
; - PUNTOCOMA
precede - PRECEDE
; - PUNTOCOMA
sucede - SUCEDE
; - PUNTOCOMA
si-es-cero - SIESCERO
; - PUNTOCOMA
repetir - REPETIR
99 - NUMBER
veces - VECES
; - PUNTOCOMA
repetir - REPETIR
1 - NUMBER
veces - VECES
; - PUNTOCOMA
"Hola" - CADENA
termina-ejecucion - FINEJECUCION
finalizar-programa - FINPROGRAMA
